name,description,price,offerPrice,stock,category,subcategory,imageUrl
Premium Long Grain Rice,Basmati rice 1kg,850,725,150,Food & Grocery,Grains,https://images.unsplash.com/photo-1586804230027-24f3f7be9d2d
Refined Sunflower Oil,Pure vegetable oil 5L,185,149,200,Food & Grocery,Oil,https://images.unsplash.com/photo-1587149235360-8db2b2a8d89f
Unpolished High Protein Flour,Atta flour 5kg,195,168,180,Food & Grocery,Flour,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Whole Wheat Flour,100% stone ground,275,239,300,Food & Grocery,Flour,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Iodized Crystal Salt,Vacuum evaporated,28,24,500,Food & Grocery,Salt,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Pure Cow Ghee,Clarified butter 500ml,360,299,120,Food & Grocery,Ghee,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Organic High Curcumin Turmeric,Spices pack,95,72,140,Food & Grocery,Spices,https://images.unsplash.com/photo-1596040299435-62fc08aa6bfd
Premium Whole Grain Oats,Healthy breakfast,599,489,100,Food & Grocery,Cereals,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Granulate Sulphur Fertilizer,Agricultural use,52,46,400,Agriculture,Fertilizers,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
Mixed Mineral Multigrain Mix,4-grain blend,240,199,110,Food & Grocery,Seeds,https://images.unsplash.com/photo-1585647346127-c76b5752a9f5
